"Participant","Trial_Order","Wrist_Angle","Exploratory_Kinematics","Object","Mass","Torque","LogI1","LogI3","Trial","EMG_FCR","EMG_FCU","EMG_ECR","EMG_ECU","Hperceived","Lperceived"
"P6",59,"Ulnar",2,"Object 3",277,7298550,5.289411,3.075547,1,1.57163494897337,2.42237196087085,3.34478597504086,2.11788368276608,210,37.7
"P6",58,"Ulnar",2,"Object 3",277,7298550,5.289411,3.075547,2,1.66794077926624,1.2939662481011,2.09049490978629,2.14336505503572,230,40.8
"P6",57,"Ulnar",2,"Object 6",322,13068300,5.768431,3.49276,1,2.52203371474397,1.23068708218964,3.69484847704916,4.06359965921971,370,54.8
"P6",52,"Ulnar",2,"Object 6",322,13068300,5.768431,3.49276,2,1.80131084296934,1.2561253245721,2.23538746558889,2.27935135543017,410,65.2
"P6",54,"Ulnar",2,"Object 5",434,13068300,5.662616,3.767156,1,1.77668457159638,1.17801474031477,2.2975608181777,2.46494808365666,415,51.7
"P6",55,"Ulnar",2,"Object 5",434,13068300,5.662616,3.767156,2,1.96507969050127,1.70750689664088,2.76411708551485,3.07862707695183,360,60.7
"P6",20,"Neutral",0,"Object 2",156,5791800,5.445371,2.954243,1,0.973264284982738,0.752975260135726,1.71612356970594,1.28488254293243,185,46.4
"P6",24,"Neutral",0,"Object 2",156,5791800,5.445371,2.954243,2,0.943471939839545,0.838705837931404,1.68188843218099,1.38619571016596,205,47.4
"P6",17,"Neutral",0,"Object 1",236,5791800,5.186108,3.507856,1,1.05974033242084,0.737225081954152,1.59644957931352,4.68843275866101,145,44.3
"P6",13,"Neutral",0,"Object 1",236,5791800,5.186108,3.507856,2,1.20115020409647,0.671953848371362,1.86361206217628,1.76148392189701,275,50.5
"P6",14,"Neutral",0,"Object 4",165,7298550,5.507546,2.819544,1,0.993820190908378,0.679602498615206,1.83702050864391,1.82455273803432,310,70.3
"P6",15,"Neutral",0,"Object 4",165,7298550,5.507546,2.819544,2,1.04463365181773,0.686498314699041,2.08947981265555,1.38339989266788,235,46.1
"P6",23,"Neutral",0,"Object 3",277,7298550,5.289411,3.075547,1,1.13968216250972,0.720149106703627,1.10380746513894,1.34047923716963,265,51.3
"P6",22,"Neutral",0,"Object 3",277,7298550,5.289411,3.075547,2,1.89714504132621,0.882660339394631,1.89062355304298,1.53538935051549,300,54.9
"P6",21,"Neutral",0,"Object 6",322,13068300,5.768431,3.49276,1,1.3131333951074,0.772332222788663,2.51026153783603,1.58866966176621,510,69.2
"P6",16,"Neutral",0,"Object 6",322,13068300,5.768431,3.49276,2,1.43255823922769,0.852670585977288,2.73899629169878,1.54635405872639,535,64.8
"P6",18,"Neutral",0,"Object 5",434,13068300,5.662616,3.767156,1,1.39865601609155,0.669071246848413,1.85101353350291,1.73607353301172,485,75.9
"P6",19,"Neutral",0,"Object 5",434,13068300,5.662616,3.767156,2,1.37890431736359,0.684752352455784,1.2117258675006,1.17745333237673,565,68.4
"P6",35,"Neutral",1,"Object 2",156,5791800,5.445371,2.954243,1,1.3288948556505,0.951627827138234,1.99016877366478,1.77992394993041,135,43.2
"P6",26,"Neutral",1,"Object 2",156,5791800,5.445371,2.954243,2,1.50073082677521,1.1073782774206,2.24154685260043,2.74987412501982,115,41.7
"P6",25,"Neutral",1,"Object 1",236,5791800,5.186108,3.507856,1,1.57323574907545,0.831845673177051,2.89435286222838,3.27843137360264,215,36.8
"P6",29,"Neutral",1,"Object 1",236,5791800,5.186108,3.507856,2,1.32184434603235,0.820298640250186,2.11744051926068,2.43201866207439,115,41.2
"P6",36,"Neutral",1,"Object 4",165,7298550,5.507546,2.819544,1,1.54131509988044,0.97176480641461,1.95674925747625,1.45162440653147,185,45.4
"P6",33,"Neutral",1,"Object 4",165,7298550,5.507546,2.819544,2,1.61608869732936,0.875651299060613,2.10297652967381,1.52507825000317,180,40.9
"P6",32,"Neutral",1,"Object 3",277,7298550,5.289411,3.075547,1,1.53062377392718,0.813421750419402,2.04353730342217,1.61703365384394,205,43
"P6",31,"Neutral",1,"Object 3",277,7298550,5.289411,3.075547,2,1.62806808495881,0.828931640954488,2.01154665731713,1.44988826117695,185,41.2
"P6",34,"Neutral",1,"Object 6",322,13068300,5.768431,3.49276,1,2.01605220270005,1.03793160130711,1.97452091282863,1.47539028546622,370,62.9
"P6",27,"Neutral",1,"Object 6",322,13068300,5.768431,3.49276,2,1.79537313973535,0.998882376061256,1.90998618114829,2.05807634422513,478,72.3
"P6",30,"Neutral",1,"Object 5",434,13068300,5.662616,3.767156,1,2.07383956085273,1.12778794399222,3.45733526936001,3.46231150120262,435,68
"P6",28,"Neutral",1,"Object 5",434,13068300,5.662616,3.767156,2,1.87443995471554,0.944147846922826,2.35733849519157,2.5087639072995,390,57.5
"P6",1,"Neutral",2,"Object 2",156,5791800,5.445371,2.954243,1,1.91581981048696,1.29230507683553,1.99683650680219,1.74231626906791,182,42.8
"P6",6,"Neutral",2,"Object 2",156,5791800,5.445371,2.954243,2,1.7183001687566,1.17921704278968,2.90057997293339,1.62992878787035,250,46
"P6",3,"Neutral",2,"Object 1",236,5791800,5.186108,3.507856,1,1.65956556658245,1.67668443147511,3.64392588812846,2.97727840329871,118,39.1
"P6",4,"Neutral",2,"Object 1",236,5791800,5.186108,3.507856,2,1.70246974865465,1.38135256442858,3.86950115967589,1.75856461291346,182,42.5
"P6",5,"Neutral",2,"Object 4",165,7298550,5.507546,2.819544,1,1.82912520071154,1.05749652654557,2.07549730428149,1.87455818087521,278,47
"P6",2,"Neutral",2,"Object 4",165,7298550,5.507546,2.819544,2,2.14979368480557,1.19196952234854,2.39323243518607,1.81949855490485,232,47
"P6",8,"Neutral",2,"Object 3",277,7298550,5.289411,3.075547,1,2.09488336900212,1.27220784377449,2.19682856857102,1.88985297294915,245,48.8
"P6",10,"Neutral",2,"Object 3",277,7298550,5.289411,3.075547,2,1.73241951623268,1.0490212951546,2.48542401853301,2.02322069656693,262,50.5
"P6",7,"Neutral",2,"Object 6",322,13068300,5.768431,3.49276,1,2.1482482406344,1.48317506766981,2.55610321289801,1.82660263252427,470,59.9
"P6",11,"Neutral",2,"Object 6",322,13068300,5.768431,3.49276,2,2.85562289949092,1.89354990824549,3.16565289752944,2.08079915234827,415,63.2
"P6",9,"Neutral",2,"Object 5",434,13068300,5.662616,3.767156,1,2.11219455197399,1.1798963259531,2.32768366432415,1.5199528392282,418,61
